id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
4,510,544,7,16,10.0,114,18.0,8,33,17.0,8,33,2,25.0,2,8.0,14.0,82,26,281,67,65,5,790322,,,
5,533,570,20,23,8.0,114,20.0,7,25,29.0,5,19,1,22.0,2,12.0,13.0,76,45,390,92,13,3,790322,,,
6,506,834,19,29,8.0,141,19.0,21,49,79.0,12,49,5,60.0,4,27.0,24.0,190,86,723,78,61,4,790322,,,
7,529,860,26,16,22.0,167,22.0,19,31,9.0,11,12,3,42.0,2,21.0,11.0,120,39,482,119,23,5,790322,,,
8,558,298,21,8,22.0,206,14.0,29,30,1.0,5,14,53,34.0,220,14.0,122.0,35,6,15,36,53,248,790322,,,
9,555,597,2,1,4.0,55,9.0,4,43,44.0,7,13,6,27.0,2,10.0,9.0,125,24,390,92,5,2,790322,,,
10,556,811,4,5,4.0,53,5.0,0,32,34.0,4,11,0,33.0,1,13.0,1.0,77,30,420,55,2,1,790322,,,
11,539,1049,3,22,7.0,146,16.0,7,77,26.0,12,25,3,67.0,13,24.0,15.0,203,57,690,119,34,3,790322,,,
13,522,634,7,9,10.0,97,25.0,7,35,29.0,1,11,0,28.0,7,11.0,10.0,95,33,521,83,12,2,790322,,,
14,540,684,13,28,15.0,168,36.0,12,46,29.0,11,21,1,72.0,10,20.0,35.0,153,94,908,122,91,11,790322,,,
16,525,718,2,5,7.0,97,7.0,1,25,41.0,4,7,0,24.0,2,8.0,7.0,136,39,540,70,11,20,790322,,,
20,517,1729,8,21,20.0,351,31.0,102,30,31.0,3,12,1,62.0,9,38.0,37.0,333,87,1115,187,33,8,790322,,,
21,523,1630,11,14,8.0,141,17.0,4,39,21.0,1,9,0,53.0,1,22.0,35.0,277,74,808,98,15,3,790322,,,
22,512,1006,16,9,14.0,141,15.0,14,46,28.0,1,15,0,42.0,6,23.0,24.0,162,43,527,60,29,2,790322,,,
24,550,1187,23,18,9.0,86,18.0,6,45,23.0,14,9,4,70.0,15,22.0,16.0,228,60,736,132,54,9,790322,,,
25,551,962,9,12,9.0,117,10.0,3,31,8.0,0,5,0,33.0,9,14.0,12.0,105,20,434,61,10,1,790322,,,
28,519,602,10,13,31.0,36,22.0,4,340,49.0,21,215,2,44.0,108,430.0,103.0,221,135,22,110,633,6,790322,,,
29,505,804,28,14,4.0,37,7.0,6,26,6.0,3,6,1,219.0,10,12.0,23.0,435,639,70,76,15,5,790322,,,
30,520,301,12,3,8.0,113,40.0,4,21,3.0,33,10,1,39.0,182,19.0,159.0,18,4,7,30,38,282,790322,,,
32,543,1063,53,18,10.0,184,18.0,5,44,40.0,11,55,5,39.0,5,18.0,20.0,116,55,638,88,33,6,790322,,,
33,561,563,19,37,149.0,27,39.0,5,46,26.0,26,313,11,57.0,52,492.0,105.0,162,83,31,94,561,11,790322,,,
34,552,343,6,10,9.0,183,7.0,12,22,11.0,24,4,0,22.0,3,22.0,131.0,91,4,9,22,19,239,790322,,,
35,526,76,0,0,0.0,2,1.0,0,6,0.0,0,1,0,2.0,0,1.0,1.0,0,0,0,8,0,0,790322,,,
36,531,700,8,19,42.0,32,20.0,12,377,40.0,24,266,10,45.0,92,394.0,100.0,192,132,28,92,561,11,790322,,,
37,536,347,7,12,11.0,273,4.0,35,15,12.0,14,3,1,20.0,78,27.0,271.0,69,5,11,34,45,288,790322,,,
38,514,702,9,11,3.0,86,21.0,5,44,33.0,2,13,4,45.0,2,15.0,6.0,111,37,550,69,15,5,790322,,,
39,495,402,6,7,19.0,246,28.0,18,17,1.0,3,6,2,38.0,305,24.0,201.0,40,4,4,22,48,254,790322,,,
41,501,915,17,21,16.0,183,28.0,20,61,34.0,7,16,8,56.0,10,17.0,16.0,153,43,689,146,57,3,790322,,,
42,544,1104,24,16,10.0,221,24.0,5,55,63.0,6,24,3,51.0,5,20.0,19.0,145,47,620,134,54,11,790322,,,
43,532,653,8,30,195.0,32,53.0,11,125,36.0,19,217,8,37.0,24,355.0,101.0,156,66,22,140,695,6,790322,,,
44,554,450,22,15,61.0,25,11.0,3,199,20.0,14,195,7,40.0,103,241.0,106.0,128,74,12,84,430,9,790322,,,
48,537,320,7,5,6.0,135,5.0,10,17,0.0,10,12,149,22.0,133,10.0,135.0,29,2,13,26,24,173,790322,,,
50,521,701,1,6,12.0,147,13.0,8,33,21.0,2,11,1,22.0,5,11.0,12.0,109,22,417,43,9,1,790322,,,
51,508,1187,2,21,7.0,215,15.0,10,46,57.0,8,21,4,53.0,5,21.0,9.0,130,44,643,110,25,3,790322,,,
53,546,1151,9,15,8.0,210,14.0,4,36,50.0,8,20,2,48.0,5,22.0,20.0,151,77,614,60,26,4,790322,,,
54,515,1115,9,22,28.0,200,21.0,10,28,7.0,0,2,1,53.0,5,19.0,10.0,83,120,832,70,22,2,790322,,,
55,545,196,2,7,8.0,77,107.0,11,11,4.0,4,3,1,22.0,98,3.0,79.0,37,1,15,20,18,165,790322,,,
