id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
4,541,321,3,11,,50,,7,12,,33,4,277,15.0,11,23.0,,157,1,3,18,12,291,767022,,9.0,
5,481,575,51,14,,17,,9,36,,6,5,8,175.0,77,30.0,,499,614,14,80,9,2,767022,,27.0,
6,567,276,3,24,,18,,11,239,,1,372,6,44.0,181,108.0,,228,171,12,35,496,4,767022,,42.0,
7,589,717,3,27,,57,,5,19,,1,48,6,46.0,5,21.0,,161,2,226,29,4,2,767022,,28.0,
8,491,449,96,44,,92,,9,51,,40,17,468,73.0,124,54.0,,138,154,10,194,33,406,767022,,20.0,
9,560,549,81,18,,39,,6,51,,3,10,11,127.0,100,41.0,,457,647,9,42,15,3,767022,,41.0,
10,552,647,3,28,,30,,5,16,,1,26,8,51.0,4,30.0,,223,3,182,31,5,0,767022,,23.0,
11,558,363,95,41,,69,,78,56,,6,73,9,91.0,11,83.0,,263,16,242,152,23,13,767022,,47.0,
12,518,233,1,5,,21,,3,10,,7,4,1,12.0,47,2.0,,96,1,0,11,11,168,767022,,6.0,
13,561,317,62,8,,11,,3,14,,16,61,7,36.0,1,30.0,,212,0,15,77,4,4,767022,,19.0,
14,572,986,3,36,,99,,11,33,,3,23,14,74.0,9,59.0,,240,3,339,65,3,5,767022,,42.0,
15,546,232,0,6,,26,,2,0,,6,3,0,7.0,2,9.0,,114,0,3,5,4,82,767022,,5.0,
16,571,74,220,15,,5,,6,18,,1,4,2,31.0,2,28.0,,2,7,4,102,32,3,767022,,8.0,
19,553,159,1,3,,19,,0,3,,0,1,2,11.0,82,4.0,,32,0,2,1,4,108,767022,,4.0,
21,581,600,2,29,,72,,3,20,,4,7,6,39.0,8,32.0,,170,5,225,23,6,2,767022,,13.0,
22,547,419,0,12,,10,,8,13,,9,65,15,28.0,24,6.0,,239,173,3,26,5,76,767022,,10.0,
23,512,313,9,10,,31,,3,25,,3,4,3,19.0,175,14.0,,103,2,3,22,18,254,767022,,7.0,
24,527,76,178,16,,8,,4,22,,4,4,9,35.0,11,23.0,,6,1,4,84,43,3,767022,,7.0,
25,568,645,1,16,,26,,6,25,,2,9,13,27.0,12,25.0,,185,2,239,32,5,2,767022,,11.0,
26,573,393,0,5,,33,,4,11,,1,5,2,17.0,1,20.0,,153,1,164,32,3,5,767022,,12.0,
27,548,272,7,10,,93,,3,15,,3,4,3,12.0,178,8.0,,44,4,2,12,9,284,767022,,5.0,
29,569,1061,7,33,,52,,28,48,,6,20,7,81.0,30,68.0,,213,13,349,74,11,7,767022,,43.0,
31,528,562,11,17,,27,,11,26,,1,38,4,21.0,16,41.0,,169,2,137,44,4,7,767022,,17.0,
32,531,325,1,13,,68,,3,33,,0,5,1,15.0,206,17.0,,44,0,8,13,16,323,767022,,8.0,
33,590,141,0,10,,4,,2,36,,0,249,4,11.0,13,117.0,,178,170,3,16,458,3,767022,,4.0,
36,554,828,13,29,,73,,24,54,,9,15,17,62.0,12,60.0,,219,8,314,61,6,7,767022,,37.0,
37,574,367,2,11,,29,,5,22,,11,8,5,19.0,8,20.0,,129,2,7,22,14,315,767022,,14.0,
38,559,404,94,55,,67,,33,108,,11,47,33,124.0,33,83.0,,236,12,233,157,33,11,767022,,44.0,
41,543,316,28,17,,62,,4,37,,3,5,5,29.0,258,14.0,,76,0,10,16,20,296,767022,,12.0,
43,496,3,1,1,,1,,0,0,,0,1,2,6.0,1,4.0,,0,0,0,4,0,0,767022,,2.0,
45,557,743,24,53,,106,,21,51,,4,13,11,89.0,34,70.0,,203,13,384,154,10,7,767022,,49.0,
47,556,545,1,15,,26,,4,23,,2,31,5,37.0,3,26.0,,165,3,117,38,2,3,767022,,23.0,
48,555,718,13,31,,39,,15,25,,4,10,10,49.0,9,58.0,,179,4,199,91,6,6,767022,,32.0,
51,584,693,8,33,,86,,9,17,,4,13,9,51.0,7,48.0,,189,5,269,66,2,1,767022,,33.0,
52,529,905,0,21,,39,,6,39,,3,21,9,71.0,11,36.0,,256,3,330,53,8,6,767022,,20.0,
53,586,465,112,37,,54,,19,32,,87,18,17,53.0,34,36.0,,164,2,9,72,35,341,767022,,21.0,
55,563,243,1,14,,6,,1,113,,0,281,8,29.0,3,117.0,,193,33,14,27,555,4,767022,,29.0,
59,570,268,26,13,,40,,15,13,,21,3,2,25.0,28,19.0,,143,2,8,33,13,244,767022,,14.0,
61,576,249,1,7,,29,,2,18,,0,2,3,23.0,198,6.0,,44,0,2,15,12,165,767022,,13.0,
62,545,412,0,13,,22,,25,10,,3,44,3,37.0,2,25.0,,143,0,137,46,1,1,767022,,5.0,
63,526,976,7,34,,76,,28,34,,7,18,5,90.0,18,83.0,,306,8,403,108,7,8,767022,,41.0,
64,540,453,42,37,,62,,45,239,,20,19,12,160.0,43,83.0,,226,79,202,166,15,10,767022,,40.0,
66,575,546,6,15,,34,,20,42,,31,42,27,16.0,370,8.0,,210,3,3,15,20,238,767022,,15.0,
67,580,392,3,14,,24,,25,308,,5,3,15,36.0,99,28.0,,203,97,14,36,287,2,767022,,29.0,
