id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
5,541,321,3,11,,50,,7,12,,33,4,277,15.0,11,23.0,,157,1,3,18,12,291,767022,,9.0,
6,567,276,3,24,,18,,11,239,,1,372,6,44.0,181,108.0,,228,171,12,35,496,4,767022,,42.0,
7,589,717,3,27,,57,,5,19,,1,48,6,46.0,5,21.0,,161,2,226,29,4,2,767022,,28.0,
9,560,549,81,18,,39,,6,51,,3,10,11,127.0,100,41.0,,457,647,9,42,15,3,767022,,41.0,
10,585,254,10,10,,44,,5,21,,1,9,4,14.0,212,24.0,,61,0,5,23,18,285,767022,,16.0,
12,552,647,3,28,,30,,5,16,,1,26,8,51.0,4,30.0,,223,3,182,31,5,0,767022,,23.0,
13,558,363,95,41,,69,,78,56,,6,73,9,91.0,11,83.0,,263,16,242,152,23,13,767022,,47.0,
14,572,986,3,36,,99,,11,33,,3,23,14,74.0,9,59.0,,240,3,339,65,3,5,767022,,42.0,
15,546,232,0,6,,26,,2,0,,6,3,0,7.0,2,9.0,,114,0,3,5,4,82,767022,,5.0,
17,595,811,5,23,,66,,2,11,,0,17,8,51.0,2,53.0,,282,2,384,68,4,1,767022,,31.0,
19,571,74,220,15,,5,,6,18,,1,4,2,31.0,2,28.0,,2,7,4,102,32,3,767022,,8.0,
21,553,159,1,3,,19,,0,3,,0,1,2,11.0,82,4.0,,32,0,2,1,4,108,767022,,4.0,
22,581,600,2,29,,72,,3,20,,4,7,6,39.0,8,32.0,,170,5,225,23,6,2,767022,,13.0,
23,547,419,0,12,,10,,8,13,,9,65,15,28.0,24,6.0,,239,173,3,26,5,76,767022,,10.0,
26,568,645,1,16,,26,,6,25,,2,9,13,27.0,12,25.0,,185,2,239,32,5,2,767022,,11.0,
27,573,393,0,5,,33,,4,11,,1,5,2,17.0,1,20.0,,153,1,164,32,3,5,767022,,12.0,
28,548,272,7,10,,93,,3,15,,3,4,3,12.0,178,8.0,,44,4,2,12,9,284,767022,,5.0,
30,569,1061,7,33,,52,,28,48,,6,20,7,81.0,30,68.0,,213,13,349,74,11,7,767022,,43.0,
31,528,562,11,17,,27,,11,26,,1,38,4,21.0,16,41.0,,169,2,137,44,4,7,767022,,17.0,
32,531,325,1,13,,68,,3,33,,0,5,1,15.0,206,17.0,,44,0,8,13,16,323,767022,,8.0,
33,591,645,2,23,,24,,16,28,,3,17,10,35.0,11,20.0,,188,5,222,34,4,5,767022,,22.0,
34,590,141,0,10,,4,,2,36,,0,249,4,11.0,13,117.0,,178,170,3,16,458,3,767022,,4.0,
36,554,828,13,29,,73,,24,54,,9,15,17,62.0,12,60.0,,219,8,314,61,6,7,767022,,37.0,
37,574,367,2,11,,29,,5,22,,11,8,5,19.0,8,20.0,,129,2,7,22,14,315,767022,,14.0,
39,559,404,94,55,,67,,33,108,,11,47,33,124.0,33,83.0,,236,12,233,157,33,11,767022,,44.0,
40,597,587,0,25,,22,,14,22,,1,14,11,38.0,3,38.0,,171,3,250,46,5,3,767022,,24.0,
46,557,743,24,53,,106,,21,51,,4,13,11,89.0,34,70.0,,203,13,384,154,10,7,767022,,49.0,
47,601,712,72,28,,44,,8,30,,3,44,11,51.0,10,55.0,,206,1,227,88,21,4,767022,,32.0,
50,593,773,48,26,,57,,13,43,,8,24,15,78.0,16,47.0,,247,11,365,99,35,7,767022,,41.0,
51,556,545,1,15,,26,,4,23,,2,31,5,37.0,3,26.0,,165,3,117,38,2,3,767022,,23.0,
52,555,718,13,31,,39,,15,25,,4,10,10,49.0,9,58.0,,179,4,199,91,6,6,767022,,32.0,
53,584,693,8,33,,86,,9,17,,4,13,9,51.0,7,48.0,,189,5,269,66,2,1,767022,,33.0,
54,529,905,0,21,,39,,6,39,,3,21,9,71.0,11,36.0,,256,3,330,53,8,6,767022,,20.0,
55,586,465,112,37,,54,,19,32,,87,18,17,53.0,34,36.0,,164,2,9,72,35,341,767022,,21.0,
59,588,646,68,36,,51,,3,39,,0,23,12,77.0,9,46.0,,239,6,252,92,12,2,767022,,41.0,
62,576,249,1,7,,29,,2,18,,0,2,3,23.0,198,6.0,,44,0,2,15,12,165,767022,,13.0,
63,545,412,0,13,,22,,25,10,,3,44,3,37.0,2,25.0,,143,0,137,46,1,1,767022,,5.0,
