id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
6,348,594,10,149,8.0,23,20.0,5,31,12.0,14,85,2,247.0,21,15.0,51.0,399,486,43,49,4,3,788406,,,
9,404,438,29,36,12.0,29,27.0,7,22,17.0,17,118,13,177.0,32,24.0,46.0,265,377,69,63,26,7,788406,,,
10,384,338,6,11,10.0,60,11.0,11,21,9.0,48,40,249,58.0,58,31.0,210.0,57,5,11,41,42,278,788406,,,
12,369,267,23,9,2.0,16,8.0,2,19,15.0,47,105,0,23.0,6,7.0,46.0,242,10,7,29,4,1,788406,,,
14,385,466,25,19,5.0,33,12.0,8,30,7.0,2,8,4,225.0,20,10.0,42.0,299,446,69,44,14,3,788406,,,
17,392,498,47,34,14.0,85,39.0,20,31,63.0,12,29,5,109.0,18,30.0,48.0,165,77,615,125,24,12,788406,,,
18,352,446,8,18,3.0,37,18.0,7,20,3.0,13,115,2,543.0,85,39.0,74.0,282,410,41,41,6,0,788406,,,
21,395,388,13,10,1.0,21,7.0,1,14,5.0,0,4,30,193.0,10,12.0,30.0,206,426,34,49,1,0,788406,,,
22,361,382,4,15,4.0,24,9.0,0,26,1.0,1,5,0,196.0,22,13.0,26.0,274,442,50,38,11,2,788406,,,
24,393,245,1,7,2.0,30,5.0,5,15,39.0,199,19,178,14.0,94,2.0,40.0,15,3,15,112,18,200,788406,,,
27,354,240,2,5,5.0,58,6.0,2,13,2.0,1,5,1,76.0,144,18.0,83.0,43,0,3,19,3,104,788406,,,
29,349,461,4,120,8.0,22,11.0,5,16,5.0,9,51,3,228.0,14,14.0,46.0,320,418,7,44,5,0,788406,,,
30,287,457,124,18,8.0,89,59.0,1,36,7.0,6,18,7,112.0,180,34.0,234.0,58,5,17,135,28,279,788406,,,
32,386,673,10,32,9.0,72,35.0,15,44,68.0,20,27,13,76.0,12,23.0,32.0,184,78,721,97,30,4,788406,,,
33,363,337,5,9,2.0,20,10.0,2,23,2.0,4,8,2,137.0,12,3.0,40.0,273,359,46,115,5,4,788406,,,
35,370,264,18,15,5.0,50,5.0,9,12,40.0,245,26,228,42.0,9,6.0,6.0,51,8,18,161,44,213,788406,,,
37,389,231,3,7,1.0,34,19.0,3,366,53.0,17,91,5,61.0,241,183.0,51.0,136,76,9,98,453,2,788406,,,
38,364,554,7,16,5.0,23,11.0,1,22,4.0,5,147,2,213.0,8,4.0,52.0,323,544,77,66,3,0,788406,,,
40,396,474,58,13,9.0,36,12.0,6,38,11.0,7,9,3,240.0,15,9.0,18.0,312,498,67,59,16,2,788406,,,
41,357,530,10,139,13.0,29,19.0,5,15,6.0,25,191,4,257.0,14,11.0,54.0,342,519,30,78,2,1,788406,,,
42,281,384,9,9,3.0,31,43.0,6,23,34.0,309,30,259,53.0,43,25.0,206.0,66,24,13,151,62,352,788406,,,
43,316,267,2,5,4.0,75,5.0,3,11,14.0,249,28,227,43.0,96,23.0,148.0,37,3,11,99,44,290,788406,,,
45,390,240,3,3,5.0,15,6.0,2,7,5.0,55,23,96,15.0,11,12.0,141.0,31,0,7,28,15,160,788406,,,
47,346,330,5,19,12.0,37,18.0,1,9,11.0,248,42,271,41.0,18,12.0,25.0,35,1,17,190,56,308,788406,,,
52,376,281,6,8,1.0,54,11.0,4,13,2.0,114,7,129,16.0,4,0.0,18.0,57,9,5,19,22,184,788406,,,
54,320,200,1,7,2.0,35,6.0,2,10,4.0,37,12,130,47.0,71,11.0,109.0,82,0,7,27,18,123,788406,,,
56,391,245,26,2,4.0,20,5.0,2,5,18.0,209,25,187,16.0,0,5.0,7.0,37,1,8,79,41,267,788406,,,
57,400,503,9,32,11.0,153,29.0,15,38,19.0,7,10,5,88.0,27,28.0,42.0,152,36,524,147,33,4,788406,,,
60,378,310,14,7,6.0,108,9.0,7,21,9.0,114,1,4,27.0,3,2.0,6.0,78,197,8,35,16,247,788406,,,
61,337,253,1,8,9.0,70,7.0,4,15,13.0,61,20,176,315.0,115,33.0,84.0,52,1,8,45,18,189,788406,,,
62,355,446,7,11,5.0,52,11.0,6,21,4.0,5,9,2,218.0,33,15.0,54.0,277,455,51,58,18,2,788406,,,
67,350,132,1,2,2.0,38,4.0,1,11,3.0,9,3,0,45.0,6,22.0,97.0,137,0,0,16,7,73,788406,,,
68,382,299,8,16,5.0,27,12.0,3,274,62.0,10,45,7,789.0,214,128.0,88.0,162,98,8,83,356,4,788406,,,
74,351,200,2,4,1.0,10,0.0,0,9,24.0,143,22,172,258.0,47,28.0,43.0,36,1,3,67,14,156,788406,,,
76,347,189,0,0,0.0,21,60.0,0,6,1.0,3,4,0,18.0,98,4.0,36.0,17,1,3,9,3,105,788406,,,
77,308,296,3,6,0.0,24,3.0,1,23,13.0,131,26,216,205.0,48,33.0,218.0,22,3,3,34,32,213,788406,,,
