id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
5,484,241,29,6,,30,,16,26,,95,4,264,21.0,60,15.0,,50,0,3,96,20,272,767022,,4.0,
7,481,575,51,14,,17,,9,36,,6,5,8,175.0,77,30.0,,499,614,14,80,9,2,767022,,27.0,
8,419,24,33,6,,3,,2,7,,0,1,3,14.0,2,13.0,,7,1,4,29,4,20,767022,,7.0,
9,417,95,22,10,,23,,11,18,,48,6,115,25.0,4,13.0,,71,4,2,45,5,93,767022,,8.0,
10,488,512,0,19,,28,,7,134,,2,9,9,49.0,14,44.0,,219,10,249,85,3,6,767022,,27.0,
11,447,1073,3,31,,82,,243,56,,7,188,12,81.0,23,73.0,,474,276,443,106,3,9,767022,,45.0,
12,491,449,96,44,,92,,9,51,,40,17,468,73.0,124,54.0,,138,154,10,194,33,406,767022,,20.0,
16,396,419,3,0,,0,,6,24,,2,0,0,0.0,70,0.0,,316,480,0,0,3,1,767022,,0.0,
17,473,413,1,12,,19,,5,19,,2,4,5,26.0,2,21.0,,140,1,156,47,1,3,767022,,9.0,
18,420,285,15,8,,20,,13,24,,74,5,277,48.0,82,17.0,,30,1,2,62,14,257,767022,,6.0,
19,503,720,0,9,,31,,7,23,,3,2,1,31.0,9,29.0,,154,4,173,30,2,4,767022,,8.0,
20,461,402,4,26,,21,,39,91,,14,14,8,127.0,24,86.0,,186,19,220,128,6,14,767022,,34.0,
22,476,309,0,7,,26,,5,13,,1,4,0,22.0,160,11.0,,32,0,5,13,9,200,767022,,9.0,
24,400,278,3,6,,59,,3,22,,1,5,4,27.0,193,19.0,,48,3,3,16,16,317,767022,,14.0,
25,474,669,2,19,,27,,15,74,,4,7,9,45.0,15,45.0,,220,3,258,62,2,9,767022,,27.0,
26,427,255,1,3,,26,,1,15,,0,3,159,10.0,71,4.0,,39,0,1,4,7,191,767022,,2.0,
27,483,527,12,9,,5,,35,223,,0,31,3,38.0,19,29.0,,238,37,95,37,7,4,767022,,16.0,
28,458,350,19,16,,82,,4,26,,1,6,255,24.0,179,22.0,,64,2,6,30,28,312,767022,,8.0,
29,475,51,184,9,,14,,2,13,,2,3,12,27.0,3,20.0,,4,1,3,30,9,3,767022,,7.0,
31,471,388,5,12,,19,,29,34,,71,52,103,22.0,296,25.0,,276,9,0,20,6,3,767022,,13.0,
33,428,322,5,7,,86,,5,17,,4,4,0,19.0,200,15.0,,62,4,3,22,15,323,767022,,11.0,
34,457,323,19,22,,14,,19,223,,6,338,8,87.0,294,80.0,,244,308,9,97,638,7,767022,,49.0,
35,496,3,1,1,,1,,0,0,,0,1,2,6.0,1,4.0,,0,0,0,4,0,0,767022,,2.0,
37,477,676,8,19,,43,,17,53,,7,9,11,69.0,28,67.0,,292,9,276,132,5,5,767022,,52.0,
38,462,891,1,28,,63,,11,33,,8,22,13,63.0,11,57.0,,288,5,386,62,7,3,767022,,40.0,
39,490,732,2,27,,49,,4,39,,3,44,19,49.0,9,43.0,,227,3,286,51,2,4,767022,,39.0,
40,449,184,7,7,,30,,2,12,,0,3,85,14.0,89,8.0,,54,3,6,11,26,231,767022,,11.0,
41,410,311,18,17,,40,,23,15,,151,6,285,27.0,192,16.0,,50,1,3,75,16,341,767022,,6.0,
42,469,342,46,10,,59,,7,18,,1,9,5,39.0,194,27.0,,74,2,5,57,12,334,767022,,11.0,
44,452,521,41,37,,21,,15,39,,5,291,8,149.0,65,37.0,,409,513,9,149,14,3,767022,,29.0,
45,500,322,0,7,,29,,8,8,,39,0,201,23.0,35,16.0,,142,3,2,16,26,371,767022,,8.0,
47,418,320,42,17,,95,,3,37,,1,9,4,37.0,184,20.0,,112,2,4,39,25,265,767022,,13.0,
50,453,275,0,12,,57,,5,24,,4,3,359,18.0,171,14.0,,20,2,6,13,21,358,767022,,9.0,
51,438,518,15,23,,38,,10,18,,3,6,334,127.0,65,46.0,,360,519,10,76,13,0,767022,,41.0,
52,454,102,228,31,,26,,16,90,,4,9,8,143.0,76,53.0,,23,9,8,140,70,19,767022,,20.0,
53,450,649,6,25,,47,,8,22,,1,5,6,71.0,13,45.0,,219,2,310,78,7,2,767022,,14.0,
54,439,265,7,17,,37,,13,12,,45,14,271,16.0,20,19.0,,64,198,2,29,15,257,767022,,4.0,
55,480,151,4,4,,5,,3,6,,17,29,73,12.0,3,6.0,,60,3,1,7,5,115,767022,,2.0,
56,479,205,0,19,,20,,11,263,,2,27,7,25.0,66,41.0,,228,213,9,25,559,5,767022,,29.0,
57,485,766,7,27,,26,,10,57,,7,13,21,90.0,13,54.0,,290,7,272,81,9,29,767022,,34.0,
60,463,231,0,5,,33,,3,7,,1,1,1,12.0,114,5.0,,57,1,2,16,8,105,767022,,6.0,
61,486,291,11,10,,14,,10,283,,3,80,7,45.0,196,55.0,,181,133,4,41,464,2,767022,,32.0,
62,441,119,15,11,,27,,5,25,,14,7,146,23.0,99,16.0,,55,13,7,15,12,147,767022,,10.0,
63,399,485,11,7,,8,,9,16,,5,4,3,27.0,74,15.0,,226,558,7,50,0,4,767022,,14.0,
