id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
3,808,334,1,10,,22,,25,6,,1,57,7,16.0,4,24.0,,117,2,8,29,4,1,767022,,15.0,
4,757,399,1,17,,17,,50,4,,1,59,4,23.0,2,22.0,,157,4,94,26,3,0,767022,,5.0,
9,774,394,1,2,,16,,1,63,,2,66,0,24.0,111,36.0,,239,39,4,13,338,201,767022,,17.0,
11,811,237,372,11,,4,,16,22,,1,10,3,213.0,26,33.0,,32,2,31,43,11,4,767022,,37.0,
12,825,417,0,1,,7,,51,3,,0,17,0,31.0,1,23.0,,165,1,106,21,4,1,767022,,12.0,
14,800,259,2,7,,35,,1,15,,0,4,3,13.0,147,13.0,,56,0,2,11,16,225,767022,,12.0,
15,802,281,0,4,,5,,45,7,,1,32,0,11.0,4,16.0,,111,1,15,15,1,0,767022,,8.0,
16,813,517,1,1,,8,,127,14,,1,54,1,29.0,3,16.0,,200,5,54,18,2,0,767022,,14.0,
17,814,410,0,8,,19,,93,3,,1,60,0,19.0,2,10.0,,155,0,40,29,1,1,767022,,13.0,
18,779,394,6,6,,34,,1,9,,2,7,1,29.0,5,18.0,,105,0,32,25,1,0,767022,,10.0,
21,829,173,0,0,,0,,3,6,,1,158,0,16.0,2,199.0,,90,8,2,23,270,2,767022,,11.0,
22,830,331,22,1,,7,,1,1,,0,22,0,27.0,17,9.0,,99,126,2,31,10,94,767022,,7.0,
23,839,107,0,0,,0,,3,57,,1,160,0,18.0,2,183.0,,64,0,4,14,255,0,767022,,14.0,
26,832,0,0,0,,2,,0,0,,0,248,0,16.0,0,36.0,,0,0,6,14,0,0,767022,,12.0,
27,785,380,2,9,,26,,80,18,,0,31,1,22.0,6,14.0,,118,1,24,20,3,2,767022,,11.0,
28,826,474,5,6,,16,,7,14,,0,14,2,37.0,6,24.0,,192,3,154,44,5,2,767022,,20.0,
29,837,427,27,1,,5,,12,25,,3,33,4,61.0,21,41.0,,238,2,201,59,11,4,767022,,23.0,
32,793,540,5,9,,45,,150,19,,2,106,4,40.0,6,25.0,,150,2,46,50,8,4,767022,,14.0,
34,801,439,5,3,,20,,81,10,,3,31,3,28.0,6,18.0,,115,5,37,38,1,3,767022,,7.0,
37,679,363,14,21,,61,,27,8,,101,11,295,19.0,26,20.0,,121,1,3,41,25,428,767022,,11.0,
39,755,662,6,10,,16,,11,26,,3,123,4,49.0,11,45.0,,210,5,198,25,30,2,767022,,25.0,
42,796,352,3,3,,15,,86,5,,0,27,0,15.0,2,6.0,,116,1,24,19,2,4,767022,,8.0,
43,797,540,17,7,,10,,53,17,,1,51,2,53.0,7,34.0,,154,2,59,43,7,3,767022,,18.0,
46,806,466,9,2,,19,,46,7,,1,22,2,46.0,4,21.0,,163,4,47,31,6,3,767022,,22.0,
49,816,364,0,6,,15,,94,14,,0,42,1,29.0,1,18.0,,177,1,30,14,5,0,767022,,10.0,
50,820,452,8,4,,12,,31,14,,0,17,3,82.0,7,55.0,,144,1,153,62,7,3,767022,,28.0,
53,828,365,1,1,,14,,86,26,,0,30,2,41.0,3,13.0,,178,5,8,24,5,1,767022,,13.0,
54,833,560,7,2,,16,,48,14,,2,26,1,38.0,6,28.0,,209,1,95,43,9,4,767022,,21.0,
56,787,566,1,0,,15,,114,10,,3,42,0,41.0,5,24.0,,215,3,112,56,2,0,767022,,27.0,
58,804,373,2,1,,11,,66,0,,0,16,0,25.0,0,15.0,,190,0,48,42,0,1,767022,,11.0,
60,835,160,0,4,,2,,3,4,,0,304,1,15.0,0,133.0,,107,0,4,13,193,1,767022,,30.0,
62,817,355,2,2,,17,,98,2,,0,27,1,22.0,2,12.0,,142,0,38,24,1,1,767022,,10.0,
63,790,420,0,5,,5,,28,6,,0,27,0,22.0,1,17.0,,139,0,40,14,1,4,767022,,11.0,
64,770,269,0,5,,13,,106,12,,0,60,2,22.0,6,16.0,,150,0,32,16,3,1,767022,,16.0,
65,799,338,0,5,,18,,71,11,,0,43,1,12.0,2,13.0,,106,2,53,28,4,0,767022,,12.0,
66,807,669,2,1,,5,,7,21,,3,24,1,38.0,7,30.0,,168,3,188,37,4,6,767022,,24.0,
68,836,359,0,2,,4,,120,4,,0,22,0,18.0,1,5.0,,123,0,45,20,0,2,767022,,7.0,
