id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
7,449,281,4,4,14.0,118,64.0,8,9,,1,35,0,,289,,22.0,25,2,6,20,16,203,767018,8.0,6.0,23.0
8,454,195,5,7,7.0,6,4.0,13,22,,59,41,25,,82,,15.0,103,0,1,16,3,3,767018,9.0,9.0,3.0
10,476,397,233,48,34.0,25,15.0,23,133,,111,102,9,,212,,246.0,154,5,20,165,15,3,767018,53.0,19.0,25.0
11,461,501,16,19,5.0,47,10.0,17,30,,14,45,5,,14,,1.0,114,7,241,26,1,2,767018,11.0,8.0,7.0
13,484,340,1,18,9.0,78,14.0,12,30,,3,41,5,,216,,32.0,47,3,5,21,27,267,767018,10.0,27.0,22.0
14,487,408,4,20,8.0,26,4.0,18,55,,160,36,329,,64,,56.0,125,1,9,22,39,364,767018,11.0,20.0,15.0
15,439,369,2,15,8.0,24,1.0,12,24,,21,16,4,,80,,113.0,137,5,5,19,16,191,767018,31.0,8.0,11.0
16,455,256,1,12,7.0,44,6.0,6,7,,6,22,0,,193,,18.0,64,2,5,16,14,164,767018,32.0,5.0,15.0
20,450,337,4,23,25.0,23,2.0,16,69,,112,65,160,,23,,57.0,90,176,13,152,54,233,767018,24.0,7.0,28.0
21,480,279,0,12,3.0,29,2.0,5,26,,64,17,4,,21,,60.0,126,2,4,9,20,267,767018,16.0,7.0,10.0
23,486,506,7,53,18.0,70,15.0,26,68,,15,77,29,,129,,14.0,190,18,332,48,13,28,767018,12.0,10.0,31.0
24,481,209,5,9,5.0,83,7.0,9,25,,5,19,63,,180,,36.0,40,3,7,15,11,119,767018,10.0,10.0,28.0
26,430,301,0,11,18.0,56,77.0,11,12,,3,35,0,,259,,33.0,29,3,9,21,18,219,767018,23.0,13.0,43.0
28,483,346,14,24,22.0,113,37.0,17,30,,4,46,7,,303,,74.0,58,7,10,27,37,254,767018,16.0,21.0,30.0
29,482,290,5,9,10.0,63,68.0,12,14,,0,31,0,,208,,13.0,31,1,7,21,9,188,767018,30.0,6.0,16.0
31,470,693,19,53,25.0,113,41.0,37,72,,8,110,2,,70,,5.0,222,35,668,90,43,11,767018,26.0,14.0,39.0
33,440,289,11,10,11.0,62,23.0,6,18,,6,31,1,,222,,51.0,87,1,2,21,9,147,767018,41.0,12.0,24.0
34,436,277,5,14,17.0,107,101.0,14,20,,2,32,0,,200,,26.0,49,4,4,12,20,188,767018,20.0,21.0,31.0
35,452,289,2,2,43.0,3,5.0,6,15,,94,107,10,,91,,48.0,96,2,2,9,1,1,767018,19.0,4.0,12.0
37,473,277,13,18,9.0,91,111.0,10,20,,2,33,1,,170,,34.0,51,2,6,12,21,183,767018,37.0,22.0,26.0
38,474,324,60,37,22.0,64,44.0,53,160,,9,90,5,,55,,7.0,186,130,595,74,27,5,767018,44.0,27.0,26.0
39,459,129,5,7,16.0,38,4.0,4,10,,5,15,0,,121,,16.0,47,2,4,19,11,82,767018,38.0,5.0,17.0
45,478,730,10,17,3.0,51,12.0,19,36,,5,60,0,,15,,0.0,103,19,377,29,11,1,767018,15.0,6.0,12.0
47,441,256,11,14,7.0,32,42.0,3,19,,7,15,0,,82,,41.0,70,6,2,17,8,134,767018,64.0,7.0,11.0
48,442,362,1,91,20.0,29,8.0,99,80,,17,97,6,,76,,4.0,260,71,717,150,57,6,767018,17.0,3.0,6.0
49,485,379,18,64,9.0,74,14.0,32,68,,21,57,9,,54,,3.0,190,62,600,99,47,5,767018,30.0,8.0,11.0
50,437,376,18,41,9.0,15,18.0,23,47,,29,41,9,,36,,3.0,353,428,9,94,259,8,767018,16.0,41.0,9.0
